Year,Month,District,Accident,Deaths,Injured
2012,3,Gwangjin,99,0,156
2012,4,Gwangjin,126,1,171
2012,5,Gwangjin,138,1,223
2012,6,Gwangjin,149,1,218
2012,7,Gwangjin,118,2,163
2012,8,Gwangjin,116,2,157
2012,9,Gwangjin,104,3,144
2012,10,Gwangjin,128,2,169
2012,11,Gwangjin,115,1,157
2012,12,Gwangjin,124,0,195
2012,1,Dongdaemun,155,1,203
2012,2,Dongdaemun,164,3,218
2012,3,Dongdaemun,137,1,179
2012,4,Dongdaemun,132,1,181
2012,5,Dongdaemun,144,0,186
2012,6,Dongdaemun,159,1,206
2012,7,Dongdaemun,181,4,229
2012,8,Dongdaemun,171,2,224
2012,9,Dongdaemun,157,2,229
2012,10,Dongdaemun,158,1,209
2012,11,Dongdaemun,176,3,241
2012,12,Dongdaemun,147,1,206
2012,1,Jungnang,120,1,168
2012,2,Jungnang,110,2,138
2012,3,Jungnang,168,4,237
2012,4,Jungnang,133,1,173
2012,5,Jungnang,178,2,225
2012,6,Jungnang,148,0,176
2012,7,Jungnang,165,0,233
2012,8,Jungnang,154,0,217
2012,9,Jungnang,124,0,169
2012,10,Jungnang,164,0,242
2012,11,Jungnang,156,0,224
2012,12,Jungnang,133,1,199
2012,1,Seongbuk,112,0,141
2012,2,Seongbuk,97,3,120
2012,3,Seongbuk,123,0,158
2012,4,Seongbuk,116,0,164
2012,5,Seongbuk,158,0,197
2012,6,Seongbuk,143,0,185
2012,7,Seongbuk,161,2,218
2012,8,Seongbuk,136,0,187
2012,9,Seongbuk,139,1,182
2012,10,Seongbuk,124,3,156
2012,11,Seongbuk,133,2,176
2012,12,Seongbuk,130,0,171
2012,1,Gangbuk,80,1,126
2012,2,Gangbuk,98,1,129
2012,3,Gangbuk,98,1,113
2012,4,Gangbuk,108,0,159
2012,5,Gangbuk,109,1,149
2012,6,Gangbuk,105,1,140
2012,7,Gangbuk,112,0,159
2012,8,Gangbuk,112,1,164
2012,9,Gangbuk,99,1,134
2012,10,Gangbuk,110,0,161
2012,11,Gangbuk,88,1,121
2012,12,Gangbuk,93,1,125
2012,1,Dobong,59,1,74
2012,2,Dobong,60,2,73
2012,3,Dobong,91,1,126
2012,4,Dobong,86,1,113
2012,5,Dobong,80,0,110
2012,6,Dobong,111,1,146
2012,7,Dobong,84,0,109
2012,8,Dobong,70,3,88
2012,9,Dobong,88,4,117
2012,10,Dobong,83,1,109
2012,11,Dobong,96,1,117
2012,12,Dobong,75,1,112
2012,1,Nowon,132,0,199
2012,2,Nowon,116,2,187
2012,3,Nowon,129,1,172
2012,4,Nowon,149,0,208
2012,5,Nowon,151,0,213
2012,6,Nowon,135,1,198
2012,7,Nowon,132,1,179
2012,8,Nowon,127,4,202
2012,9,Nowon,154,0,222
2012,10,Nowon,156,1,215
2012,11,Nowon,133,2,186
2012,12,Nowon,109,1,149
2012,1,Eunpyeong,99,2,128
2012,2,Eunpyeong,119,2,166
2012,3,Eunpyeong,136,2,218
2012,4,Eunpyeong,126,3,170
2012,5,Eunpyeong,143,1,190
2012,6,Eunpyeong,138,1,187
2012,7,Eunpyeong,131,2,204
2012,8,Eunpyeong,123,0,164
2012,9,Eunpyeong,121,2,184
2012,10,Eunpyeong,133,2,216
2012,11,Eunpyeong,136,3,189
2012,12,Eunpyeong,114,1,181
2012,1,Seodaemun,64,1,95
2012,2,Seodaemun,102,0,170
2012,3,Seodaemun,84,1,127
2012,4,Seodaemun,90,0,156
2012,5,Seodaemun,96,3,139
2012,6,Seodaemun,84,3,111
2012,7,Seodaemun,84,0,141
2012,8,Seodaemun,57,1,84
2012,9,Seodaemun,93,1,151
2012,10,Seodaemun,80,0,136
2012,11,Seodaemun,107,2,176
2012,12,Seodaemun,100,1,159
2012,1,Mapo,111,2,185
2012,2,Mapo,103,1,165
2012,3,Mapo,125,1,170
2012,4,Mapo,131,0,193
2012,5,Mapo,124,0,176
2012,6,Mapo,134,3,233
2012,7,Mapo,131,1,187
2012,8,Mapo,137,2,207
2012,9,Mapo,140,10,185
2012,10,Mapo,136,1,188
2012,11,Mapo,145,0,236
2012,12,Mapo,144,2,238
2012,1,Yangcheon,90,2,132
2012,2,Yangcheon,88,1,120
2012,3,Yangcheon,105,2,141
2012,4,Yangcheon,139,4,231
2012,5,Yangcheon,131,0,171
2012,6,Yangcheon,133,1,187
2012,7,Yangcheon,130,0,190
2012,8,Yangcheon,126,0,192
2012,9,Yangcheon,119,0,174
2012,10,Yangcheon,115,0,159
2012,11,Yangcheon,132,0,177
2012,12,Yangcheon,110,4,162
2012,1,Gangseo,151,3,206
2012,2,Gangseo,126,1,196
2012,3,Gangseo,133,1,216
2012,4,Gangseo,151,2,206
2012,5,Gangseo,173,2,266
2012,6,Gangseo,159,3,212
2012,7,Gangseo,150,4,205
2012,8,Gangseo,139,1,193
2012,9,Gangseo,162,1,232
2012,10,Gangseo,158,4,219
2012,11,Gangseo,141,1,227
2012,12,Gangseo,124,2,195
2012,1,Guro,134,1,208
2012,2,Guro,121,1,180
2012,3,Guro,147,3,211
2012,4,Guro,146,2,211
2012,5,Guro,137,1,189
2012,6,Guro,127,4,181
2012,7,Guro,122,0,177
2012,8,Guro,128,0,185
2012,9,Guro,145,1,229
2012,10,Guro,121,2,199
2012,11,Guro,139,5,222
2012,12,Guro,115,1,174
2012,1,Geumcheon,82,0,113
2012,2,Geumcheon,89,1,146
2012,3,Geumcheon,90,2,117
2012,4,Geumcheon,96,4,151
2012,5,Geumcheon,86,2,106
2012,6,Geumcheon,95,2,140
2012,7,Geumcheon,110,4,184
2012,8,Geumcheon,84,0,131
2012,9,Geumcheon,75,1,111
2012,10,Geumcheon,71,1,109
